name,ubi,business_type,address,agent_name,status
BRICK BY BRICK MASONRY OF SEATTLE LLC,605 651 353,WA LIMITED LIABILITY COMPANY,"27221 104TH AVE SE, KENT, WA, 98030-7653, UNITED STATES",ANDREW KIRK,ACTIVE
SAL FLORAL DESIGN SEATTLE LLC,605 657 163,WA LIMITED LIABILITY COMPANY,"1219 1ST AVE, SEATTLE, WA, 98101-2998, UNITED STATES",JUAN RAMOS BURCIAGA,ACTIVE
SEATTLE ART MUSEUM VISITOR SERVICES OFFICERS UNION,605 664 632,WA NONPROFIT CORPORATION,N/A,EXECUTIVE BOARD MEMBERS,ACTIVE
"SEATTLE BETTA, LLC",605 661 385,WA LIMITED LIABILITY COMPANY,"24406 101ST PL SE, KENT, WA, 98030-5172, UNITED STATES","LAM BETTA, LLC",ACTIVE
SEATTLE BIRTH CO LLC,605 665 155,WA LIMITED LIABILITY COMPANY,"8840 NE 202ND PL, BOTHELL, WA, 98011-2101, UNITED STATES",DARIA LITVINOV,ACTIVE
SEATTLE CREMATIONS LLC,605 664 673,WA LIMITED LIABILITY COMPANY,"11630 SLATER AVE NE, KIRKLAND, WA, 98034-4100, UNITED STATES",CRAIG BARTON,ACTIVE
SEATTLE QUALITY SIDING LLC,605 662 364,WA LIMITED LIABILITY COMPANY,"3600 S OREGON ST APT 6, SEATTLE, WA, 98118-6611, UNITED STATES",RICARDO GARCIA-GARCIA,ACTIVE
SEATTLE TRAVIS LLC,605 667 606,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
SEATTLEBKATS LLC,605 665 185,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
WEST SEATTLE AUTOMOTIVE L.L.C.,605 667 914,WA LIMITED LIABILITY COMPANY,"2517 22ND AVENUE CT SE, PUYALLUP, WA, 98372-5165, UNITED STATES",MAHALA BISHOP,ACTIVE
"509 HOMESTEAD FARM, LLC",605 665 640,WA LIMITED LIABILITY COMPANY,"3932B GARVEY CIR, COLVILLE, WA, 99114-9196, UNITED STATES",LISA BARTHULY,ACTIVE
CHRIS ERDMANN REAL ESTATE ADVISORS LLC,605 663 179,WA LIMITED LIABILITY COMPANY,"1211 GRANARY AVE FL 6, BELLINGHAM, WA, 98225-3089, UNITED STATES",ANDREWS ACCOUNTING,ACTIVE
EXQUISITE AUTO SERVICES LLC,605 663 565,WA LIMITED LIABILITY COMPANY,"13521 E TRENT AVE, SPOKANE VLY, WA, 99216-1268, UNITED STATES",EXQUISITE AUTO SERVICES LLC,ACTIVE
FLOW STATE ASSISTANCE LLC,605 651 194,WA LIMITED LIABILITY COMPANY,"434 W 3RD ST, PORT ANGELES, WA, 98362-2215, UNITED STATES",HAYLEY BENTON,ACTIVE
FOX CONSTRUCTION TEAM LLC,605 652 413,FOREIGN LIMITED LIABILITY COMPANY,"25207 N 71ST AVE, PEORIA, AZ, 85383-3204, UNITED STATES",CORPORATION SERVICE COMPANY,ACTIVE
"HART FAMILY HOMESTEAD, LLC",605 660 491,WA LIMITED LIABILITY COMPANY,"46 LOST SPOKE LN, WENATCHEE, WA, 98801-7813, UNITED STATES",KYLE HART,ACTIVE
HOMESTEAD VENTURES LLC,605 663 309,WA LIMITED LIABILITY COMPANY,"715 SE 36TH ST, BATTLE GROUND, WA, 98604-3196, UNITED STATES",KGRAHAM CAPITAL GROUP LLC,ACTIVE
JCT EARTHWORX LLC,605 665 523,WA LIMITED LIABILITY COMPANY,"2705 L ST, VANCOUVER, WA, 98663-3122, UNITED STATES",JOSHUA TRAGER,ACTIVE
"JM HOMESTEAD VENTURES, LLC",605 662 963,WA LIMITED LIABILITY COMPANY,"4016 27TH AVE SE, PUYALLUP, WA, 98374-1711, UNITED STATES",JOSH CARR,ACTIVE
RAYMOND SCHOOL DISTRICT PARENT TEACHER ORGANIZATION,605 667 033,WA NONPROFIT CORPORATION,N/A,PTO PRESIDENT,ACTIVE
RISING WOLF HOMESTEAD LLC,605 665 451,WA LIMITED LIABILITY COMPANY,"315 CALISPEL TRL, NEWPORT, WA, 99156-8833, UNITED STATES",ROWAN WOLF,ACTIVE
S&J REALTY TEAM LLC,605 657 277,WA LIMITED LIABILITY COMPANY,"5236 CALIFORNIA AVE SW APT 6, SEATTLE, WA, 98136-1283, UNITED STATES",SHERELYN ANDERSON,ACTIVE
"STEADFAST FOUNDATIONS, LLC",605 664 853,WA LIMITED LIABILITY COMPANY,"1320 LEO LN, CLE ELUM, WA, 98922-6315, UNITED STATES",SARAH NALE,ACTIVE
THE SPEEDY TEAM INC,605 660 513,FOREIGN PROFIT CORPORATION,"100 N HOWARD ST STE R, SPOKANE, WA, 99201-0508, UNITED STATES",REGISTERED AGENTS INC.,ACTIVE
