name,ubi,business_type,address,agent_name,status
AIRA TECH CORP.,604 882 720,FOREIGN PROFIT CORPORATION,"3208 AVENIDA LA CIMA, CARLSBAD, CA, 92009-9540, UNITED STATES",C T CORPORATION SYSTEM,ACTIVE
ALITY TECHNOLOGIES DE LLC,605 652 325,FOREIGN LIMITED LIABILITY COMPANY,"1 REAN DR, UNIT 2801, NORTH YORK, ON, M2K3C1, CANADA",C T CORPORATION SYSTEM,ACTIVE
ARCUM LUX TECHNOLOGIES LLC,605 660 991,WA LIMITED LIABILITY COMPANY,"3590 A ST, TACOMA, WA, 98418-7902, UNITED STATES",JONATHAN WILLIAMS,ACTIVE
ATLAS AVIATION TECH LLC,605 666 908,WA LIMITED LIABILITY COMPANY,"305 GLEN COVE RD, PORT TOWNSEND, WA, 98368-9795, UNITED STATES",JED BOTHELL,ACTIVE
AUTO TECH LLC,605 656 969,WA LIMITED LIABILITY COMPANY,"35 HOPE LN, EASTSOUND, WA, 98245-8915, UNITED STATES",AUTO TECH LLC,ACTIVE
"BRIDGE CITY TECHNOLOGY, LLC",605 663 213,WA LIMITED LIABILITY COMPANY,"13891 LAZY CREEK LN, OREGON CITY, OR, 97045-8096, UNITED STATES",REGISTERED AGENTS INC.,ACTIVE
CATALYST TECHNICAL CONSULTING GROUP LLC,605 651 031,FOREIGN LIMITED LIABILITY COMPANY,"16 BILTMORE AVE STE 300, ASHEVILLE, NC, 28801-3617, UNITED STATES",STEPHAN STANIULIS,ACTIVE
"CLEARVIEW TECHNICAL SOLUTIONS, LLC",605 663 551,WA LIMITED LIABILITY COMPANY,"4806 HIGHWAY 231, SPRINGDALE, WA, 99173-9607, UNITED STATES",ROCKET LAWYER CORPORATE SERVICES LLC,ACTIVE
CLENE TECH LLC,605 655 077,WA LIMITED LIABILITY COMPANY,"3117 D ST SE, AUBURN, WA, 98002-8035, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
DAITO TECHNOLOGIES NORTH AMERICA CORPORATION,605 649 778,WA PROFIT CORPORATION,N/A,BAXTER LAW INTERNATIONAL PLLC,ACTIVE
DUAL WAVE TECH LLC,605 657 973,WA LIMITED LIABILITY COMPANY,"1823 MINOR AVE APT 3208, SEATTLE, WA, 98101-0933, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
FONTECHA CREATIVE STUDIOS LLC,605 661 551,WA LIMITED LIABILITY COMPANY,"14110 NE 21ST ST # 1197, BELLEVUE, WA, 98007-3719, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
FROSTBYTE TECHNOLOGIES,605 658 286,WA NONPROFIT CORPORATION,N/A,VENKATESAN NARAYANAN,ACTIVE
FUTURE TECH INNOVATION LLC,605 657 357,WA LIMITED LIABILITY COMPANY,"11311 179TH CT NE, REDMOND, WA, 98052-7426, UNITED STATES",RAKESH HEMRAJANI,ACTIVE
"GORBATECH, LLC",605 665 735,WA LIMITED LIABILITY COMPANY,"2558 178TH PL NE, MARYSVILLE, WA, 98271-4742, UNITED STATES",MADISON GLICK,ACTIVE
GREYMATTERTECH INC,605 664 776,WA PROFIT CORPORATION,"14716 97TH AVE NE, BOTHELL, WA, 98011-7271, UNITED STATES",ARUN ARORA,ACTIVE
HALO PYROTECHNICS LLC,605 660 374,WA LIMITED LIABILITY COMPANY,"13507 79TH AVENUE CT NW, GIG HARBOR, WA, 98329-9201, UNITED STATES",HALO PYROTECHNICS LLC,ACTIVE
JLT TECH LLC,605 659 244,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
KNN3 TECHNOLOGY LTD.,605 656 578,WA PROFIT CORPORATION,"100 N HOWARD ST STE R, SPOKANE, WA, 99201-0508, UNITED STATES",REGISTERED AGENTS INC.,ACTIVE
LIMITLESS FLOOR AND TILE TECH LLC,605 661 473,WA LIMITED LIABILITY COMPANY,"9109 NE 91ST PL, VANCOUVER, WA, 98662-2082, UNITED STATES",JACOB SOLIS,ACTIVE
"MAGENTA TECH, INC",605 660 972,WA PROFIT CORPORATION,"15420 SE 20TH PL, BELLEVUE, WA, 98007-6333, UNITED STATES",KWAN SUB SHIN,ACTIVE
MECHTECH LLC,605 646 776,WA LIMITED LIABILITY COMPANY,"2334 HENDERSON LOOP, RICHLAND, WA, 99354, UNITED STATES",JEFFREY MERCER,ACTIVE
MEDTECH CLAIMS & BILLING LLC,605 661 227,WA LIMITED LIABILITY COMPANY,"500 108TH AVE NE STE 1100, BELLEVUE, WA, 98004-5535, UNITED STATES",SEATON M DALY III,ACTIVE
MINDTECH LLC,605 659 969,WA LIMITED LIABILITY COMPANY,"13826 NE 12TH ST APT N101, BELLEVUE, WA, 98005-2092, UNITED STATES",KANIKA GARG,ACTIVE
MKSMARTTECH LLC,605 662 136,WA LIMITED LIABILITY COMPANY,"3943 62ND AVENUE CT E, FIFE, WA, 98424-2363, UNITED STATES",ENTITY PROTECT REGISTERED AGENT SERVICES LLC,ACTIVE
