name,ubi,business_type,address,agent_name,status
APEX BIOCLEAN LLC,605 658 281,WA LIMITED LIABILITY COMPANY,"505 DEARBORN AVE, SHELTON, WA, 98584-1523, UNITED STATES",APEX BIOCLEAN,ACTIVE
"KHOROS BIO, INC.",605 662 647,WA PROFIT CORPORATION,"8339 SE 57TH ST, MERCER ISLAND, WA, 98040-4906, UNITED STATES",JEFFREY OSTER,ACTIVE
"SYMBIOTIC INDUSTRIAL DESIGN, LLC",605 662 948,WA LIMITED LIABILITY COMPANY,"10404 17TH AVE SW, SEATTLE, WA, 98146-1306, UNITED STATES",TREVOR KNAPP,ACTIVE
"AIRDALE TECHNOLOGY SOLUTIONS, LLC",605 668 423,FOREIGN LIMITED LIABILITY COMPANY,"4606 142ND PL SE, BELLEVUE, WA, 98006-3056, UNITED STATES",KAINAN YIN,ACTIVE
ALITY TECHNOLOGIES DE LLC,605 652 325,FOREIGN LIMITED LIABILITY COMPANY,"1 REAN DR, UNIT 2801, NORTH YORK, ON, M2K3C1, CANADA",C T CORPORATION SYSTEM,ACTIVE
ARCUM LUX TECHNOLOGIES LLC,605 660 991,WA LIMITED LIABILITY COMPANY,"3590 A ST, TACOMA, WA, 98418-7902, UNITED STATES",JONATHAN WILLIAMS,ACTIVE
ATLAS AVIATION TECH LLC,605 666 908,WA LIMITED LIABILITY COMPANY,"305 GLEN COVE RD, PORT TOWNSEND, WA, 98368-9795, UNITED STATES",JED BOTHELL,ACTIVE
AXOTECH LLC,605 660 895,WA LIMITED LIABILITY COMPANY,"11816 NE 40TH PL, VANCOUVER, WA, 98686-5958, UNITED STATES",LUIS SALGADO PEREZ,ACTIVE
BNBR TECHNOLOGY L.L.C.,605 660 894,WA LIMITED LIABILITY COMPANY,"10907 NE 194TH DR, BOTHELL, WA, 98011-3006, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
CATALYST TECHNICAL CONSULTING GROUP LLC,605 651 031,FOREIGN LIMITED LIABILITY COMPANY,"16 BILTMORE AVE STE 300, ASHEVILLE, NC, 28801-3617, UNITED STATES",STEPHAN STANIULIS,ACTIVE
DAITO TECHNOLOGIES NORTH AMERICA CORPORATION,605 649 778,WA PROFIT CORPORATION,N/A,BAXTER LAW INTERNATIONAL PLLC,ACTIVE
ENTERPRISE-STRATEGIC INCLUSIVE TECHNOLOGY-EMPOWERED SOLUTIONS (E-SITES) CONSULTING LLC,605 665 914,WA LIMITED LIABILITY COMPANY,"6830 57TH CT SE, LACEY, WA, 98513-5102, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
FONTECHA CREATIVE STUDIOS LLC,605 661 551,WA LIMITED LIABILITY COMPANY,"14110 NE 21ST ST # 1197, BELLEVUE, WA, 98007-3719, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
FROSTBYTE TECHNOLOGIES,605 658 286,WA NONPROFIT CORPORATION,N/A,VENKATESAN NARAYANAN,ACTIVE
