name,ubi,business_type,address,agent_name,status
APEX BIOCLEAN LLC,605 658 281,WA LIMITED LIABILITY COMPANY,"505 DEARBORN AVE, SHELTON, WA, 98584-1523, UNITED STATES",APEX BIOCLEAN,ACTIVE
"KHOROS BIO, INC.",605 662 647,WA PROFIT CORPORATION,"8339 SE 57TH ST, MERCER ISLAND, WA, 98040-4906, UNITED STATES",JEFFREY OSTER,ACTIVE
"SYMBIOTIC INDUSTRIAL DESIGN, LLC",605 662 948,WA LIMITED LIABILITY COMPANY,"10404 17TH AVE SW, SEATTLE, WA, 98146-1306, UNITED STATES",TREVOR KNAPP,ACTIVE
MIKE'S TRANSPORT LLC,605 661 570,WA LIMITED LIABILITY COMPANY,"29211 MILITARY RD S, FEDERAL WAY, WA, 98003-7915, UNITED STATES",MANUEL PINEDA CONTRERAS,ACTIVE
MIKES FINE TURNERY LLC,605 667 706,WA LIMITED LIABILITY COMPANY,"7143 PUGET BEACH RD NE, OLYMPIA, WA, 98516-9546, UNITED STATES",MICHAEL JOHNSON,ACTIVE
"4615 STONE WAY N, LLC",605 659 276,WA LIMITED LIABILITY COMPANY,"4615 STONE WAY N, SEATTLE, WA, 98103-6758, UNITED STATES","FLYNN AND ASSOCIATES, PLLC",ACTIVE
"CHRIS NEWMAN CPA, PLLC",605 665 135,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"7901 228TH ST SE, WOODINVILLE, WA, 98072-9548, UNITED STATES",CHRIS NEWMAN,ACTIVE
DONEWELL PROJECTS LLC,605 664 852,WA LIMITED LIABILITY COMPANY,"4818 15TH AVE SW, SEATTLE, WA, 98106-1529, UNITED STATES",RICHARD BOWEN,ACTIVE
JM NEWPORT LLC,605 666 241,WA LIMITED LIABILITY COMPANY,"9502 W NEWPORT HWY STE 1, SPOKANE, WA, 99218, UNITED STATES","O-TOWN FILINGS, LLC",ACTIVE
KAREN KRISTINE-WRITER LLC,605 664 620,WA LIMITED LIABILITY COMPANY,"2508 NW 111TH ST, VANCOUVER, WA, 98685-3641, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
NEW BRANCH LANDSCAPING SERVICES LLC,605 664 856,WA LIMITED LIABILITY COMPANY,"730 112TH ST SW UNIT I1, EVERETT, WA, 98204-7892, UNITED STATES",NEW BRANCH LANDSCAPING SERVICES LLC,ACTIVE
NEW ERA CONSTRUCTION LLC,605 668 819,WA LIMITED LIABILITY COMPANY,"123 JOHN LN, WENATCHEE, WA, 98801-8027, UNITED STATES",LETTY THE BOOKKEEPER,ACTIVE
NEW HARBOUR LLC,605 667 217,WA LIMITED LIABILITY COMPANY,"522 W RIVERSIDE AVE STE N, SPOKANE, WA, 99201-0581, UNITED STATES","NORTHWEST REGISTERED AGENT, LLC",ACTIVE
NEW SULTANAT LLC,605 640 978,WA LIMITED LIABILITY COMPANY,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",MURTAZA AZIZI,ACTIVE
"NEW SUMMITS LIFE COACHING, LLC",605 667 209,WA LIMITED LIABILITY COMPANY,"48424 138TH AVE E, EATONVILLE, WA, 98328-7521, UNITED STATES",ANNE MALVER,ACTIVE
NEW VISION PROPERTIES LLC,605 658 086,WA LIMITED LIABILITY COMPANY,"29100 45TH AVE S, AUBURN, WA, 98001-2808, UNITED STATES",VICTOR HUGO OROZCO ANGEL,ACTIVE
NEWHOUSE VETERINARY SERVICES PLLC,605 638 678,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"516 5TH ST, ZILLAH, WA, 98953-9537, UNITED STATES","(SN)2, LLC",ACTIVE
NOURISH & RENEWED PLLC,605 660 108,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6156 SNOWDEN DR, FERNDALE, WA, 98248-9349, UNITED STATES",FRED LAFRENIERE,ACTIVE
ONEWORK SOLUTIONS LLC,605 663 829,WA LIMITED LIABILITY COMPANY,"9115 NE 163RD AVE, VANCOUVER, WA, 98682-0731, UNITED STATES",ONE WORK SOLUTIONS,ACTIVE
PAST NEW AND USED LLC,605 664 861,WA LIMITED LIABILITY COMPANY,"170 N BURLINGTON BLVD, BURLINGTON, WA, 98233-1114, UNITED STATES","UNITED STATES CORPORATION AGENTS, INC.",ACTIVE
REDEFINEWALL LLC,605 663 056,WA LIMITED LIABILITY COMPANY,"25620 217TH PL SE, MAPLE VALLEY, WA, 98038-7588, UNITED STATES",VIBHOR SINGHAL,ACTIVE
